PKG (J),CPU (J),DRAM (J),Time (ms),Temp (C),Size,Input case,CPU - readCSV,Time - readCSV,Memory - readCSV,CPU % of PKG,PKG %,full EC,Size^2
4.131148084462118,3.619165653805081,0.20068974117580934,409.14547482014376,68.34532374100719,25000.0,best,1.9341878903971417,201.90009103636,0.08667540946128231,87.60677612640706,100,2.020863299858424,625000000.0
7.62605175073596,6.6774791772814766,0.2964548304461051,877.9709818840577,66.05797101449275,50000.0,best,4.543260552990741,631.845263726876,0.1543185073494757,87.56141966433756,100,4.6975790603402166,2500000000.0
16.707993779486237,14.668513163305056,0.5035851814079813,2100.7808033240985,62.67313019390582,75000.0,best,12.113200137256195,1816.149317136253,0.3327469360372112,87.79338415432487,100,12.445947073293405,5625000000.0
27.213635320248812,23.920853490414828,0.7404637544051461,3502.2691847826077,61.62228260869565,100000.0,best,21.05533417760644,3188.023726887871,0.5517427300424816,87.90025003611359,100,21.60707690764892,10000000000.0
99.29770977313702,87.47065883538662,2.348406669421074,13055.811025641033,61.4,200000.0,best,83.83045854794558,12658.438980358014,2.121239345570838,88.08930138996018,100,85.95169789351642,40000000000.0
192.9432194519043,169.97922943115233,4.436513519287109,25506.394,60.64,300000.0,best,166.01211208174183,25063.134430809398,4.188234296355484,88.09805802661218,100,170.20034637809732,90000000000.0
279.38522617836736,246.13261350172047,6.403218530882098,36949.57756232687,60.88919667590028,400000.0,best,241.77472169129777,36453.89756521704,6.13148172435437,88.09793447867659,100,247.90620341565213,160000000000.0
435.62393023728714,383.59466427212203,10.300272414494296,57793.42056555267,60.17737789203085,500000.0,best,378.93174630337205,57254.718090886,10.009797479598463,88.05638020463559,100,388.94154378297054,250000000000.0
4.956861515108957,4.33531092002639,0.22590979126384825,533.9196672240801,63.38963210702341,25000.0,worst,2.652285203880557,326.3703605574134,0.10936573744440381,87.46080371242921,100,2.7616509413249606,625000000.0
11.151702925023743,9.752576195900415,0.3792024162502261,1390.4157887120111,62.199710564399425,50000.0,worst,7.632723933970517,1144.9136265498491,0.23579503792463488,87.45369439510648,100,7.868518971895152,2500000000.0
20.84867076713498,18.30589563706342,0.6008945326177346,2659.1685434173646,61.603641456582636,75000.0,worst,15.736166092163739,2380.109429781001,0.4291194083279619,87.80365828367394,100,16.165285500491702,5625000000.0
34.94517050378863,30.70582234765006,0.9218983113671256,4549.4089381933445,60.47068145800317,100000.0,worst,27.824538330722977,4234.573522193345,0.7296658894921256,87.86857212306646,100,28.5542042202151,10000000000.0
132.79638932776575,116.93970588328307,3.1222164173818006,17462.233290155436,61.376943005181346,200000.0,worst,113.24941866554619,17048.34553614474,2.884736131410878,88.05940167142234,100,116.13415479695706,40000000000.0
293.60382054433103,258.58584107471114,6.694293366760767,38852.42815126049,60.674369747899156,300000.0,worst,254.5723177025716,38403.41479692978,6.439001410457453,88.07305047846523,100,261.01131911302906,90000000000.0
517.7599582248264,455.89724409315323,11.797957017686631,68804.82861111108,60.05,400000.0,worst,451.51135004629896,68302.6600408193,11.519578422278807,88.05185431029207,100,463.03092846857777,160000000000.0
808.179464754851,711.325518898342,19.124190620754074,107507.61684782608,60.07608695652174,500000.0,worst,706.6348239365971,106962.20453774856,18.828578117978314,88.01578732442947,100,725.4634020545753,250000000000.0
13.521966552734375,11.787998453776042,0.43917236328125,1723.002,67.73333333333333,25000.0,random1,9.914042476185582,1491.1949210526313,0.31081221731085523,87.17665738784353,100,10.224854693496438,625000000.0
46.28203503838901,40.24563282933728,1.2275053879310345,6550.751724137931,59.62068965517241,50000.0,random1,38.06049895889458,6285.970557471264,1.0771717290768679,86.95735353027413,100,39.13767068797144,2500000000.0
82.03515460040119,71.37714447846284,2.1249818544130066,11779.994594594595,59.054054054054056,75000.0,random1,68.70862971125422,11475.440405405405,1.9467888909417228,87.00799654263561,100,70.65541860219594,5625000000.0
145.09723703484786,126.28814054790296,3.6479010331003288,20996.10789473684,59.3421052631579,100000.0,random1,123.2108802126165,20652.537061403506,3.442275287115086,87.03690237573059,100,126.65315549973158,10000000000.0
579.8685997856987,504.5825958251953,14.213465372721354,84478.60555555558,58.47222222222222,200000.0,random1,500.955744934082,84057.85108055559,13.98016611735026,87.01671309873879,100,514.9359110514323,40000000000.0
1306.59497918023,1137.8141276041667,31.59906514485677,189076.94444444444,59.05555555555556,300000.0,random1,1133.325694548778,188575.7902136752,31.313868204752602,87.08238939644801,100,1164.6395627535308,90000000000.0
2324.7161613913145,2024.4579431870404,56.20789471794577,336014.5588235294,59.88235294117647,400000.0,random1,2019.9541967055377,335496.3008823529,55.925524543313415,87.08409124559219,100,2075.879721248851,160000000000.0
3633.477382114955,3163.1521589006697,89.02839529854911,525555.3142857143,59.97142857142857,500000.0,random1,3158.3409057617187,524999.63,88.7295375279018,87.0557822781734,100,3247.0704432896205,250000000000.0
13.075294494628906,11.382143020629883,0.4065093994140625,1721.3468750000002,64.5625,25000.0,random2,9.479230880737305,1495.2892500000003,0.2785320281982422,87.05075840016805,100,9.757762908935547,625000000.0
46.197252546037944,40.18903023856027,1.231382097516741,6535.258214285713,59.107142857142854,50000.0,random2,38.02286541651166,6277.478825396824,1.0832955496651786,86.99441638549789,100,39.10616096617684,2500000000.0
81.6367538914536,71.01119902639678,2.104514382102273,11773.545454545454,58.121212121212125,75000.0,random2,68.20804350881866,11459.35332121212,1.9164976177793562,86.98434913374332,100,70.12454112659802,5625000000.0
