PKG (J),CPU (J),DRAM (J),Time (ms),Temp (C),Size,Input case,CPU - readCSV,Time - readCSV,Memory - readCSV,CPU % of PKG,PKG %,full EC,nlog(n)
2.1288729431808635,1.8316581479964718,0.12775921565230175,217.86377688172027,70.21505376344086,25000.0,best,0.1466803845885325,10.618393097936519,0.013744883937774718,86.03886642758928,100,0.16042526852630723,365241.0118609203
2.64482580114294,2.288657633463542,0.15933996129918981,258.01101851851865,71.0,50000.0,best,0.1544390091728065,11.885300361337045,0.017203638202560406,86.53339786970156,100,0.1716426473753669,780482.0237218406
3.2706243825513264,2.8432988011559774,0.1956119980922965,306.17679069767416,72.61046511627907,75000.0,best,0.2879857751071171,21.545304509828668,0.024773752721526487,86.93443418097424,100,0.3127595278286436,1214595.2231368476
3.756564205639983,3.2660151790810503,0.22380588479238014,351.8209041095888,74.0,100000.0,best,0.4004958662726623,37.57544621485209,0.035084860429715675,86.94155085057676,100,0.435580726702378,1660964.0474436812
4.782608115607924,4.160429407338627,0.2776762748676571,445.76558743169403,75.43715846994536,200000.0,best,0.5202291198975897,48.39354214867535,0.050508951017421255,86.99080724931588,100,0.5707380709150109,3521928.0948873623
5.216191986942535,4.5211181640625,0.3055402750859175,495.3844961636825,74.79283887468031,300000.0,best,0.554000814652007,52.124926973081585,0.0572610521542922,86.67468864988132,100,0.6112618668062992,5458380.89254739
5.601663388445935,4.848541024411552,0.3297310561937661,536.6364293059125,74.65295629820051,400000.0,best,0.4906492139888643,40.95643219608576,0.0579942496660385,86.55537986113583,100,0.5486434636549028,7443856.189774725
6.038650820953677,5.222563310102983,0.35621396459714333,582.6147323232324,75.28787878787878,500000.0,best,0.5596453413529829,43.91225765656577,0.06573902970131001,86.48559860393104,100,0.625384371054293,9465784.284662087
6.301892395019531,5.439096221923828,0.3654695129394531,627.3853025000002,74.43,600000.0,best,0.4354416828007661,43.85849371447068,0.05691187934974057,86.30893517354275,100,0.4923535621505067,11516761.78509478
6.801966131484178,5.863472349998032,0.38756878370001574,701.7855088161208,73.22418136020151,700000.0,best,0.5328047496900199,70.53215372473687,0.05688429115554772,86.20261019615856,100,0.5896890408455676,13591896.77754609
7.243761523685989,6.241543913008906,0.41379832493439883,752.7602824427473,72.61323155216284,800000.0,best,0.43287882524316057,46.60440264735041,0.06454485826240397,86.16440357126632,100,0.49742368350556454,15687712.37954945
7.598297119140625,6.54270738995941,0.435230276438111,797.703452513967,71.34916201117318,900000.0,best,0.29146457961246064,21.50514805202465,0.06744780381261889,86.10754867005512,100,0.35891238342507953,17801608.928291213
7.943132002275068,6.834894871973729,0.45927764557220124,840.543736263736,71.56043956043956,1000000.0,best,0.23566604070517716,13.551876105424867,0.07108793220231335,86.04785706716295,100,0.3067539729074905,19931568.569324173
2.054337855747768,1.7835417829241071,0.1280214146205357,223.86639428571436,50.68857142857143,25000.0,worst,0.004397495814732144,18.644125690673036,0.01209169281978674,86.81832824790678,100,0.016489188634518884,365241.0118609203
2.6304120848164754,2.286281247110762,0.16017304369683802,266.69390828402385,58.35502958579882,50000.0,worst,0.04652860324643271,11.744000966950779,0.012270866677020958,86.91722716405769,100,0.05879946992345367,780482.0237218406
3.178223823589054,2.767481569383965,0.1989322516436134,312.77307923497284,61.68852459016394,75000.0,worst,0.22342968502737115,29.800990229737124,0.02885970608773969,87.07635846297154,100,0.25228939111511084,1214595.2231368476
3.640316283505266,3.172580782221167,0.2234009800694924,354.55381215469606,64.56906077348066,100000.0,worst,0.27730542897654953,36.72941502550947,0.032526816455556995,87.15124003363478,100,0.3098322454321065,1660964.0474436812
4.735654098923142,4.1300947859480575,0.28428394214527025,460.23099459459473,66.39189189189189,200000.0,worst,0.5204539403075996,62.13834753577112,0.05800980877921075,87.21276300326105,100,0.5784637490868103,3521928.0948873623
5.28912528904005,4.612545495745779,0.3149329876077586,508.5020229885059,68.38793103448276,300000.0,worst,0.6346656129332793,66.73818832183952,0.06769047458692529,87.20809668290035,100,0.7023560875202046,5458380.89254739
5.661003070170653,4.927915093619064,0.33880393598332753,549.6738994413407,69.5,400000.0,worst,0.5718239499851956,54.243839981881706,0.06848252814971267,87.05021058168248,100,0.6403064781349083,7443856.189774725
5.6383144306296575,4.896247181465955,0.3239330922361958,572.4887723577239,69.07588075880759,500000.0,worst,0.15437946075084774,38.08288278717123,0.025430363253258703,86.83884593004451,100,0.17980982400410644,9465784.284662087
6.508697903540827,5.651228184853831,0.38955668787802417,655.9122580645159,69.29354838709678,600000.0,worst,0.6354939891446021,69.92470077284884,0.08173175832276702,86.82578710220182,100,0.7172257474673691,11516761.78509478
6.622657960958558,5.740183046243262,0.3734422051360344,710.3828086253366,67.73854447439354,700000.0,worst,0.4266372990064893,92.90687112533624,0.039704745086318494,86.6749133064458,100,0.4663420440928078,13591896.77754609
7.5833478910832115,6.577410298009073,0.44667567815249265,794.3922375366569,68.05571847507332,800000.0,worst,0.759183402417988,87.01199464260014,0.09869579988214383,86.73491434756728,100,0.8578792023001318,15687712.37954945
7.382165463264846,6.387868485738599,0.4144991977321194,809.2920341207348,67.04461942257218,900000.0,worst,0.2027526499776524,54.1241301659328,0.042536472626187205,86.53109331572057,100,0.24528912260383962,17801608.928291213
7.851863069354363,6.7962769870809465,0.44596875131612196,858.7286549865221,67.03504043126685,1000000.0,worst,0.27715776861400787,57.81858831985562,0.05246855317300603,86.5562341962719,100,0.3296263217870139,19931568.569324173
2.2794139965160474,1.973136283255912,0.13730435758023649,238.72018918918926,57.729729729729726,25000.0,random1,0.09918030566545144,6.913110241820732,0.00894421160984174,86.56331347757525,100,0.10812451727529318,365241.0118609203
