PKG (J),CPU (J),DRAM (J),Time (ms),Temp (C),Size,Input case,CPU - readCSV,Time - readCSV,Memory - readCSV,CPU % of PKG,PKG %,full EC
1.8112704746842736,1.5628210197156158,0.10760840131821534,190.74906784660774,62.575221238938056,25000.0,best,-0.016870716057522772,-5.900027781807609,0.003550630709011099,-0.9314299710242637,100,-0.013320085348511673
2.2666102583690355,1.9602277201990927,0.13484552855132728,232.98786827957008,65.91935483870968,50000.0,best,-0.04082599348156024,0.4726491784464599,0.005519747575642581,-1.8011915957239617,100,-0.03530624590591766
2.67961063487007,2.324276031657336,0.15961248224431818,267.01397860962567,68.02139037433155,75000.0,best,-0.025936022888316757,3.338081961581281,0.008183407141751836,-0.9679026702912884,100,-0.01775261574656492
3.047013465394365,2.64751694050241,0.1800832545503657,297.5272898936169,69.2127659574468,100000.0,best,0.02046674363156553,6.792712765957276,0.012159469279837104,0.671698496380507,100,0.032626212911402636
4.039603847927517,3.5079154120551217,0.23209177652994792,387.37914444444476,70.85833333333333,200000.0,best,0.005927533325925438,6.566419231980376,0.009569700131222714,0.14673551043789868,100,0.015497233457148152
4.327484293186918,3.7520868828956115,0.24864066915309174,417.9692367021279,71.89893617021276,300000.0,best,-0.04396783899039214,4.811816983817721,0.0068200678106621615,-1.016013831861019,100,-0.03714777117972998
4.661045759676608,4.036696692254524,0.2691427849572721,453.2795201072389,72.38337801608579,400000.0,best,-0.05809999946512168,6.555795178872415,0.00820524998010519,-1.2465013746003806,100,-0.04989474948501649
4.949410134173454,4.2807136697972075,0.28841400146484375,483.4879999999998,72.52659574468085,500000.0,best,-0.04163395023412875,4.29980219780208,0.011207077529404197,-0.8411901439863515,100,-0.03042687270472455
5.246381856627384,4.52933859959834,0.3077108092227225,521.1757627118642,72.18079096045197,600000.0,best,-0.059083473544776055,5.3910438712845234,0.011982031765747858,-1.1261756227320754,100,-0.0471014417790282
5.534756077243275,4.770656315360482,0.32924109431389437,556.9902913385831,71.49081364829397,700000.0,best,-0.026719546952366002,11.911759305156352,0.018979163385969555,-0.4827592504433248,100,-0.007740383566396447
6.015626394204077,5.180278177793861,0.3523401560517132,618.5585456852793,71.08883248730965,800000.0,best,-0.0004376279430795549,12.75162628229441,0.02324132646915722,-0.007274852432677663,100,0.022803698526077665
6.399069773750404,5.5247277548146805,0.36823787245639533,674.3619069767444,69.57364341085271,900000.0,best,-0.001839726215312254,7.979412723870496,0.023607072011890995,-0.02874990085057342,100,0.02176734579657874
6.68637189592634,5.770302908761161,0.38582327706473213,716.7694457142861,69.46,1000000.0,best,-0.021728835247728284,11.366979438626231,0.024606662042279792,-0.3249719816058472,100,0.002877826794551508
5.0382138290846274,4.320909621398573,0.36518357117052025,619.2764017341048,53.945086705202314,25000.0,worst,2.470364045856738,400.307221626578,0.24248715609995575,49.03253672156206,100,2.7128512019566937
5.720910516708933,4.910946511473331,0.41583507597758507,669.5972513089005,58.75916230366492,50000.0,worst,2.6577916863785096,411.87071832737007,0.26519741158526977,46.4574944602954,100,2.9229890979637796
6.2472289710916495,5.3761978969779065,0.44978890367733537,704.4169758064522,61.215053763440864,75000.0,worst,2.68147703109249,408.4386824731188,0.271709964875252,42.922662887829524,100,2.953186995967742
5.930851641749836,5.080725704812255,0.41074583043602747,695.1251073298424,61.3717277486911,100000.0,worst,2.0341583155066534,365.8630275426084,0.2147270432954856,34.297912650306934,100,2.248885358802139
7.318073344294571,6.268974406469923,0.5147011273667895,846.1060777479887,62.14209115281501,200000.0,worst,2.59438881953082,441.6026354402962,0.28680387457482237,35.45180127982043,100,2.8811926941056423
7.623510179803946,6.520587538639059,0.5508378191692073,876.9341978319782,62.75338753387534,300000.0,worst,2.479671344798647,423.22606430082027,0.3011098512305945,32.52663518923008,100,2.780781196029242
7.450841819785557,6.331907568788948,0.5307814075100806,916.7537683284453,60.712609970674485,400000.0,worst,1.6949917671151402,401.4483543499508,0.24267857049101138,22.74899679945056,100,1.9376703376061517
8.262170673380643,7.022434450545401,0.6188083042031671,988.3875633423172,61.05390835579515,500000.0,worst,2.244902132053406,438.66759420651454,0.3289035567229395,27.17085159334837,100,2.573805688776346
8.796783203125,7.452385416666667,0.6632682291666666,1079.7805066666674,60.8,600000.0,worst,2.3298910798700208,478.1599905376348,0.3517030872930412,26.4857167224758,100,2.681594167163062
8.723464139845976,7.358271150507479,0.6459827042712785,1125.5780341880338,59.344729344729345,700000.0,worst,1.7662126725080745,475.63750830247534,0.30369821325458907,20.24668920733661,100,2.0699108857626634
9.060189669249487,7.634712594454406,0.6722862368724385,1181.0587704918032,59.31967213114754,800000.0,worst,1.6572894033838494,464.17426528346994,0.3161618357799092,18.29199458162263,100,1.9734512391637586
10.103485927786878,8.527142596501177,0.7664678430044523,1274.7615860215046,59.64247311827957,900000.0,worst,2.0324782334118527,475.65726521225577,0.39306569400246527,20.11660379337073,100,2.425543927414318
10.28488337739985,8.642631530761719,0.7564857969892785,1350.7774202127662,59.172872340425535,1000000.0,worst,1.7937402696920781,515.79121843235,0.3537714893344195,17.440550406567258,100,2.1475117590264974
5.2699957513189934,4.497906573407062,0.3671042702414773,618.7652077922077,65.35064935064935,25000.0,random1,2.687775500409015,381.4938015422077,0.24187348105690698,85.34933965138984,100,2.929648981465922
5.7697151692708335,4.94289794921875,0.40631754557291666,663.6192133333335,65.94666666666667,50000.0,random1,2.719646194045608,404.38140252252265,0.25815552857545043,85.66970472900182,100,2.9778017226210585
