PKG (J),CPU (J),DRAM (J),Time (ms),Temp (C),Size,Input case,CPU - readCSV,Time - readCSV,Memory - readCSV,CPU % of PKG,PKG %,full EC,nlog(n),n^2
1.608215509976312,1.3737026025532981,0.09543460590151238,182.94129154518947,58.8600583090379,25000.0,best,-0.33181232356491264,-16.218296314235573,-0.018143044857273555,85.41781832296418,100,-0.3499553684221862,365241.0118609203,625000000.0
2.173160037478885,1.875846244193412,0.13022079696884384,227.23020420420428,61.48048048048048,50000.0,best,-0.2474279742904948,-19.098049201790047,-0.01217538672069976,86.31882658626509,100,-0.2596033610111945,780482.0237218406,2500000000.0
2.7099545127467106,2.3506682100351792,0.16292978030199196,270.177760233918,63.833333333333336,75000.0,best,-0.22298559057577094,-13.689185270168991,-0.00849635352166267,86.74198031658575,100,-0.2314819440974336,1214595.2231368476,5625000000.0
3.1528142068238383,2.736709459693031,0.19036595167311948,312.3195442477876,66.0,100000.0,best,-0.13611003563161272,-2.647082695217705,0.0014572412922095046,86.80211646375466,100,-0.13465279433940322,1660964.0474436812,10000000000.0
4.239947694720644,3.686379912405303,0.2517339533025568,416.20805757575744,67.14242424242424,200000.0,best,0.07475086198312342,17.04463139191347,0.02606198853497327,86.94399501662217,100,0.10081285051809669,3521928.0948873623,40000000000.0
4.6479465879243,4.038504940339888,0.27730183217717314,458.585091954023,68.51149425287356,300000.0,best,0.0759681123473035,12.899834891876196,0.030066862687854634,86.8879378010112,100,0.10603497503515813,5458380.89254739,90000000000.0
5.078689805690615,4.4129729026033795,0.30094886618438443,496.9056555891234,69.41389728096676,400000.0,best,0.07233326711763688,3.604586623606167,0.031228034836987217,86.89195582803055,100,0.1035613019546241,7443856.189774725,160000000000.0
5.248251149624209,4.553358633306962,0.308170057852057,524.5597924050638,68.75949367088607,500000.0,best,-0.10222412335304121,-14.432439970915311,0.01819362411551978,86.75954148331861,100,-0.08403049923752143,9465784.284662087,250000000000.0
5.746181040502793,4.980902304196491,0.34275485417030377,576.2969636871507,68.52234636871508,600000.0,best,-0.02025596468558355,-10.606752645227857,0.03456544021973068,86.68195918450665,100,0.014309475534147131,11516761.78509478,360000000000.0
6.127426014775815,5.3128042912137685,0.36293503028759055,614.0752753623191,69.27246376811594,700000.0,best,-0.018342358103422995,-18.4375584178415,0.034226187291611976,86.7053193037721,100,0.01588382918818898,13591896.77754609,490000000000.0
6.62774709349904,5.747625766519728,0.3829783860531599,679.9970530726256,68.21787709497207,800000.0,best,-0.07682473755885688,-27.546773397962284,0.0358700163380864,86.7206561360406,100,-0.040954721220770485,15687712.37954945,640000000000.0
7.093600933368389,6.151259034544557,0.4024949964586195,745.223653846154,67.8489010989011,900000.0,best,-0.11640216122684333,-34.0952057526996,0.036024703266015645,86.71560597113599,100,-0.08037745796082768,17801608.928291213,810000000000.0
7.392502647722271,6.401267640019807,0.42031456316021126,787.7728788732398,67.58591549295775,1000000.0,best,-0.20999660362494676,-34.95062889878102,0.03250619331119897,86.59134727523058,100,-0.1774904103137478,19931568.569324173,1000000000000.0
5.866631844630935,5.134759104923962,0.2444575731407641,611.6226973293763,71.01780415430267,25000.0,worst,3.4517333887781287,404.0733906627096,0.12791351932131967,87.52482243492452,100,3.5796469080994484,365241.0118609203,625000000.0
13.603292846679688,11.949443359375,0.42297088623046875,1642.1828999999998,68.4175,50000.0,worst,9.829591097445102,1396.6807378378378,0.2795635079048775,87.84228564403536,100,10.109154605349978,780482.0237218406,2500000000.0
27.366004475617668,24.12887848671593,0.7312666139017374,3377.267328519857,66.014440433213,75000.0,worst,21.55914894181625,3098.2082148834934,0.5594914896119647,88.17099517839397,100,22.118640431428215,1214595.2231368476,5625000000.0
48.68885071884245,42.948428723939074,1.197013358392659,6175.7622189349095,65.34615384615384,100000.0,worst,40.06714470701199,5860.92680293491,1.004780936517659,88.20998665987848,100,41.07192564352965,1660964.0474436812,10000000000.0
172.25194455866227,152.37132733567316,3.855216807888863,21852.101754385978,66.06516290726817,200000.0,worst,148.68104011793628,21438.214000375283,3.6177365219179403,88.45840766911137,100,152.29877663985422,3521928.0948873623,40000000000.0
411.93780235877404,364.45800649789663,8.976151404747597,52521.740307692315,65.20923076923077,300000.0,worst,360.44448312575713,52072.726953361605,8.720859448444283,88.47403768505683,100,369.1653425742014,5458380.89254739,90000000000.0
683.4027753557477,604.5651961346061,14.98174052335778,87539.5158892129,63.73615160349854,400000.0,worst,600.1793020877518,87037.34731892112,14.703361927949956,88.46396560504127,100,614.8826640157017,7443856.189774725,160000000000.0
1074.9802812471858,949.0808914580332,24.58073227412419,139962.05475504324,61.69740634005764,500000.0,worst,944.3901964962882,139416.64244496572,24.28511977134843,88.2882140272299,100,968.6753162676366,9465784.284662087,250000000000.0
2.0971993111275338,1.8146494272592906,0.13525885504645271,238.2658108108108,39.75675675675676,25000.0,random1,-0.05930655033117005,6.458731863442267,0.006898709076057968,86.5272755732342,100,-0.05240784125511208,365241.0118609203,625000000.0
2.6053049187911186,2.2614730031866777,0.15686838250411184,263.18297368421054,59.39473684210526,50000.0,random1,0.07633913274396953,-1.598192982456112,0.006534723649945173,86.80262286673216,100,0.0828738563939147,780482.0237218406,2500000000.0
3.3355904715401787,2.9090384347098213,0.19825613839285713,318.80588571428575,63.42857142857143,75000.0,random1,0.24052366750120635,14.25169652509652,0.020063174921573362,87.21209811366919,100,0.26058684242277974,1214595.2231368476,5625000000.0
