PKG (J),CPU (J),DRAM (J),Time (ms),Temp (C),Size,Input case,CPU - readCSV,Time - readCSV,Memory - readCSV,CPU % of PKG,PKG %,full EC,Size^2
87.91439115084134,77.02757850060097,1.8047461876502404,12214.488461538462,58.57692307692308,10000.0,greaterThan0,0.1893856001141872,30.131993287079684,0.0042939206215161325,87.61657504792242,100,0.19367952073570333,100000000.0
353.53719220842635,311.1613115583147,6.952784946986607,47541.19999999999,59.392857142857146,20000.0,greaterThan0,0.7741814580234697,118.38015734543009,0.017120837315619447,88.01374181160291,100,0.7913022953390891,400000000.0
793.8887034449084,697.9226011078933,15.644068224676724,107823.1724137931,60.03448275862069,30000.0,greaterThan0,1.7404264939273617,269.0402756784701,0.03881625296610612,87.9118947126227,100,1.7792427468934677,900000000.0
1405.9425266810827,1237.9377615792412,27.252413068498885,188471.89285714287,60.857142857142854,40000.0,greaterThan0,3.0901445963635426,470.619627764977,0.06780612383020639,88.0503817251734,100,3.157950720193749,1600000000.0
2183.14037109375,1928.500322265625,41.2171337890625,285554.84,62.48,50000.0,greaterThan0,4.816272894220405,713.3007701024591,0.10270165378591402,88.33606614582685,100,4.918974548006319,2500000000.0
204.76933752972147,174.54666801120925,4.978141452955163,34261.72608695652,54.95652173913044,10000.0,greaterThanEquals0,0.4331833238907079,85.25008735062484,0.012227408784778439,85.24062738928112,100,0.44541073267548636,100000000.0
832.1784694505775,711.7982708474864,19.76616370159647,136624.78260869565,54.869565217391305,20000.0,greaterThanEquals0,1.7757738562463987,341.0891138671692,0.0491542842021441,85.53432911060908,100,1.824928140448543,400000000.0
1818.9448888442096,1548.8163990693934,44.341804055606616,307272.8823529412,53.35294117647059,30000.0,greaterThanEquals0,3.8676609888311115,767.6645505263403,0.11056059254343084,85.14916579212795,100,3.9782215813745423,900000000.0
3189.660871582031,2729.783662109375,75.3174365234375,522563.84,54.12,40000.0,greaterThanEquals0,6.819759347688878,1305.8494956221198,0.1879686824675529,85.58225378848621,100,7.007728030156431,1600000000.0
4980.2386860094575,4263.346159282483,117.3887650339227,815120.3157894737,54.36842105263158,50000.0,greaterThanEquals0,10.653387486762549,2037.2144595761433,0.29313073189806454,85.60525766082505,100,10.946518218660614,2500000000.0
