PKG (J),CPU (J),DRAM (J),Time (ms),Temp (C),Input case,Size
4.396484375,3.8660888671875,0.2138671875,424.846,64.0,best,25000.0
4.3262939453125,3.8027954101562496,0.212158203125,418.592,64.0,best,25000.0
4.566711425781249,4.00213623046875,0.2154541015625,470.24199999999996,64.0,best,25000.0
4.493408203125,3.941650390624999,0.2149658203125,455.23199999999997,64.0,best,25000.0
4.56488037109375,3.9915161132812496,0.21337890625,497.50300000000004,64.0,best,25000.0
4.53973388671875,3.9839477539062496,0.21417236328124997,462.98400000000004,64.0,best,25000.0
4.40057373046875,3.845092773437501,0.21905517578124997,447.954,64.0,best,25000.0
4.41583251953125,3.8302612304687504,0.219482421875,492.036,64.0,best,25000.0
4.47308349609375,3.919189453125,0.21221923828124997,449.73400000000004,64.0,best,25000.0
4.58038330078125,4.01580810546875,0.216064453125,468.186,64.0,best,25000.0
4.43914794921875,3.8839721679687504,0.21954345703124997,444.35900000000004,64.0,best,25000.0
4.60205078125,4.03179931640625,0.2177734375,484.32300000000004,64.0,best,25000.0
4.45745849609375,3.9066772460937504,0.2142333984375,456.059,64.0,best,25000.0
4.511413574218751,3.934814453125,0.22113037109375003,477.59,64.0,best,25000.0
4.5257568359375,3.9710083007812496,0.21563720703124997,461.276,64.0,best,25000.0
4.58905029296875,4.000305175781249,0.221923828125,491.02,64.0,best,25000.0
4.37969970703125,3.7911376953125,0.22149658203124997,492.62800000000004,64.0,best,25000.0
4.5137939453125,3.967041015625,0.2142333984375,452.9,64.0,best,25000.0
6.7437744140625,5.891357421875,0.29235839843750006,764.6110000000001,64.0,best,50000.0
6.496337890624999,5.6956787109375,0.28375244140625,704.444,64.0,best,50000.0
6.412353515625,5.604736328125,0.266845703125,733.6610000000001,65.0,best,50000.0
6.520751953124999,5.7047119140625,0.28253173828125,719.08,65.0,best,50000.0
6.53619384765625,5.73345947265625,0.27606201171875,715.9010000000001,65.0,best,50000.0
6.694458007812501,5.85858154296875,0.28668212890625,736.062,65.0,best,50000.0
6.53167724609375,5.7142333984375,0.2818603515625,742.2539999999999,65.0,best,50000.0
6.64141845703125,5.810546875000001,0.283203125,762.1189999999999,65.0,best,50000.0
