PKG (J),CPU (J),DRAM (J),Time (ms),Temp (C),Input case,Size
2.2406005859375,1.9661865234375,0.1343994140625,227.88,53.0,random1,25000
2.06231689453125,1.77508544921875,0.12615966796875,250.212,53.0,random1,25000
2.140869140625,1.876708984375,0.12188720703125,222.526,53.0,random1,25000
2.21710205078125,1.94073486328125,0.133544921875,226.62,53.0,random1,25000
2.05853271484375,1.79681396484375,0.119384765625,219.516,53.0,random1,25000
2.06561279296875,1.80108642578125,0.11993408203125,219.862,53.0,random1,25000
2.099853515625,1.8095703125,0.12481689453125,246.381,53.0,random1,25000
2.21478271484375,1.94158935546875,0.13458251953125,225.572,53.0,random1,25000
2.21234130859375,1.9400634765625,0.1351318359375,225.104,53.0,random1,25000
2.06488037109375,1.80389404296875,0.1195068359375,220.626,53.0,random1,25000
2.03900146484375,1.75933837890625,0.12445068359375,247.011,53.0,random1,25000
2.2789306640625,1.98199462890625,0.14068603515625,243.719,53.0,random1,25000
2.20062255859375,1.9296875,0.12835693359375,226.503,53.0,random1,25000
2.07855224609375,1.819580078125,0.11822509765625,221.448,54.0,random1,25000
2.0850830078125,1.82080078125,0.1220703125,220.422,54.0,random1,25000
2.2423095703125,1.9388427734375,0.1385498046875,258.809,54.0,random1,25000
2.01885986328125,1.73297119140625,0.12579345703125,246.579,54.0,random1,25000
2.12799072265625,1.85809326171875,0.125,226.849,54.0,random1,25000
2.23931884765625,1.9627685546875,0.133056640625,227.403,54.0,random1,25000
2.175537109375,1.90142822265625,0.13348388671875,223.9,54.0,random1,25000
2.239501953125,1.9644775390625,0.13055419921875,225.432,54.0,random1,25000
2.064208984375,1.80560302734375,0.1197509765625,223.208,54.0,random1,25000
2.03753662109375,1.78167724609375,0.1197509765625,218.484,54.0,random1,25000
2.155517578125,1.8916015625,0.1287841796875,222.729,54.0,random1,25000
2.14453125,1.880615234375,0.12139892578125,222.961,54.0,random1,25000
2.10638427734375,1.8377685546875,0.12176513671875,225.839,54.0,random1,25000
2.3299560546875,2.03173828125,0.13995361328125,262.672,55.0,random1,25000
2.18798828125,1.91845703125,0.12933349609375,223.929,55.0,random1,25000
2.05859375,1.77203369140625,0.1258544921875,254.049,55.0,random1,25000
2.15478515625,1.84234619140625,0.14642333984375,269.443,55.0,random1,25000
2.0733642578125,1.81011962890625,0.1185302734375,221.68,55.0,random1,25000
2.2357177734375,1.95697021484375,0.13128662109375,233.974,55.0,random1,25000
2.01129150390625,1.75592041015625,0.117431640625,216.546,55.0,random1,25000
2.21881103515625,1.94207763671875,0.13189697265625,228.707,55.0,random1,25000
2.05438232421875,1.75543212890625,0.13836669921875,260.99,55.0,random1,25000
2.26513671875,1.98297119140625,0.13751220703125,230.531,55.0,random1,25000
2.1744384765625,1.91485595703125,0.12530517578125,210.79,55.0,random1,25000
2.29248046875,2.0084228515625,0.134765625,229.763,55.0,random1,25000
2.5828857421875,2.17474365234375,0.16552734375,298.055,57.0,random1,50000
2.5693359375,2.24365234375,0.1549072265625,253.605,57.0,random1,50000
2.5615234375,2.2001953125,0.1527099609375,289.214,57.0,random1,50000
2.6285400390625,2.28997802734375,0.156005859375,256.876,57.0,random1,50000
2.35675048828125,2.05316162109375,0.13739013671875,240.491,57.0,random1,50000
2.47113037109375,2.118896484375,0.154052734375,298.632,57.0,random1,50000
2.696044921875,2.35296630859375,0.1600341796875,263.536,57.0,random1,50000
2.33770751953125,2.04071044921875,0.1385498046875,241.953,57.0,random1,50000
2.49737548828125,2.18670654296875,0.14215087890625,254.579,57.0,random1,50000
2.5626220703125,2.23974609375,0.15338134765625,261.327,57.0,random1,50000
2.57568359375,2.24969482421875,0.15179443359375,248.156,57.0,random1,50000
2.60845947265625,2.27532958984375,0.1563720703125,254.578,57.0,random1,50000
2.55126953125,2.2178955078125,0.15087890625,261.588,57.0,random1,50000
2.28167724609375,1.986572265625,0.13763427734375,239.67,57.0,random1,50000
2.51904296875,2.20166015625,0.15008544921875,242.519,57.0,random1,50000
2.525390625,2.19879150390625,0.14617919921875,247.337,57.0,random1,50000
2.27191162109375,1.93292236328125,0.134521484375,276.022,57.0,random1,50000
2.442626953125,2.0780029296875,0.1519775390625,321.735,57.0,random1,50000
2.66583251953125,2.3143310546875,0.15911865234375,271.815,57.0,random1,50000
2.5692138671875,2.2474365234375,0.1533203125,250.813,57.0,random1,50000
2.375,2.0496826171875,0.144775390625,257.836,57.0,random1,50000
2.71783447265625,2.37176513671875,0.16094970703125,264.05,57.0,random1,50000
2.60491943359375,2.27154541015625,0.15533447265625,255.183,57.0,random1,50000
2.50927734375,2.19500732421875,0.149169921875,247.869,57.0,random1,50000
2.55169677734375,2.195068359375,0.15435791015625,282.234,57.0,random1,50000
2.46875,2.126220703125,0.14678955078125,285.195,57.0,random1,50000
2.3707275390625,2.0308837890625,0.147705078125,288.928,57.0,random1,50000
2.6513671875,2.30108642578125,0.154052734375,282.093,57.0,random1,50000
2.5484619140625,2.22088623046875,0.14727783203125,251.149,57.0,random1,50000
2.50994873046875,2.1884765625,0.14300537109375,256.397,57.0,random1,50000
2.75567626953125,2.3583984375,0.16534423828125,292.16,61.0,random1,75000
3.1549072265625,2.73944091796875,0.18634033203125,327.405,61.0,random1,75000
3.09478759765625,2.71405029296875,0.1748046875,303.975,61.0,random1,75000
2.77569580078125,2.4232177734375,0.1572265625,276.975,61.0,random1,75000
3.2059326171875,2.80926513671875,0.18536376953125,311.21,61.0,random1,75000
3.18048095703125,2.74761962890625,0.19769287109375,338.865,61.0,random1,75000
3.2205810546875,2.81719970703125,0.189697265625,310.34,61.0,random1,75000
3.23944091796875,2.830810546875,0.19000244140625,307.983,61.0,random1,75000
2.78594970703125,2.440673828125,0.1575927734375,276.426,61.0,random1,75000
3.1434326171875,2.73876953125,0.17742919921875,305.273,61.0,random1,75000
2.83172607421875,2.47406005859375,0.16192626953125,279.611,61.0,random1,75000
3.31884765625,2.9071044921875,0.19671630859375,311.438,61.0,random1,75000
2.84979248046875,2.47576904296875,0.16253662109375,299.104,61.0,random1,75000
3.189208984375,2.7921142578125,0.18194580078125,310.836,61.0,random1,75000
3.21380615234375,2.817626953125,0.1868896484375,302.563,61.0,random1,75000
3.09490966796875,2.7078857421875,0.17608642578125,301.983,61.0,random1,75000
3.14764404296875,2.753662109375,0.1822509765625,306.282,61.0,random1,75000
3.21612548828125,2.8126220703125,0.18695068359375,312.756,61.0,random1,75000
3.12493896484375,2.71221923828125,0.18572998046875,333.342,61.0,random1,75000
3.26300048828125,2.8521728515625,0.20050048828125,305.401,61.0,random1,75000
3.11370849609375,2.69012451171875,0.1905517578125,328.234,61.0,random1,75000
2.76788330078125,2.40924072265625,0.1573486328125,275.986,61.0,random1,75000
3.1690673828125,2.78424072265625,0.17974853515625,308.796,61.0,random1,75000
3.237060546875,2.7989501953125,0.19403076171875,334.629,61.0,random1,75000
3.1754150390625,2.780029296875,0.1806640625,313.116,61.0,random1,75000
3.19696044921875,2.7987060546875,0.18145751953125,303.347,61.0,random1,75000
2.6861572265625,2.29736328125,0.170654296875,317.934,61.0,random1,75000
3.31365966796875,2.91021728515625,0.1910400390625,305.767,61.0,random1,75000
3.16766357421875,2.7474365234375,0.18646240234375,323.768,61.0,random1,75000
3.21502685546875,2.81878662109375,0.18756103515625,305.283,61.0,random1,75000
2.85174560546875,2.49334716796875,0.1624755859375,281.756,61.0,random1,75000
3.19390869140625,2.7689208984375,0.190185546875,338.575,61.0,random1,75000
2.8067626953125,2.445556640625,0.1605224609375,278.333,61.0,random1,75000
2.7921142578125,2.43646240234375,0.16156005859375,277.0,61.0,random1,75000
2.7762451171875,2.43145751953125,0.15606689453125,275.589,61.0,random1,75000
3.168701171875,2.76220703125,0.1837158203125,309.398,61.0,random1,75000
2.77874755859375,2.43731689453125,0.15606689453125,277.066,61.0,random1,75000
3.445556640625,2.94842529296875,0.206298828125,348.933,64.0,random1,100000
3.09332275390625,2.65692138671875,0.1866455078125,341.619,64.0,random1,100000
3.7179565429687504,3.2664794921875,0.2216796875,344.243,64.0,random1,100000
3.6038818359375,3.1240234375,0.22076416015625,373.382,64.0,random1,100000
3.6542358398437504,3.19561767578125,0.21343994140625,346.052,64.0,random1,100000
3.48895263671875,3.05596923828125,0.20166015625,321.219,64.0,random1,100000
3.709716796875,3.24835205078125,0.2159423828125,359.794,63.0,random1,100000
3.3138427734375,2.9024658203125,0.1888427734375,309.62,63.0,random1,100000
3.6806030273437504,3.2308349609375,0.2115478515625,341.507,63.0,random1,100000
3.5189208984375,3.052001953125,0.21575927734375,360.986,63.0,random1,100000
3.52001953125,3.0853271484375,0.201416015625,336.984,63.0,random1,100000
3.6354370117187504,3.19219970703125,0.206298828125,339.852,63.0,random1,100000
3.556396484375,3.11846923828125,0.2047119140625,332.351,63.0,random1,100000
3.904296875,3.4208984375,0.23138427734375,359.349,63.0,random1,100000
3.53375244140625,3.08941650390625,0.2119140625,331.382,63.0,random1,100000
3.55584716796875,3.1219482421875,0.20501708984375,331.936,63.0,random1,100000
3.11669921875,2.68756103515625,0.18536376953125,331.619,63.0,random1,100000
3.56695556640625,3.1346435546875,0.20062255859375,330.569,63.0,random1,100000
3.696044921875,3.24749755859375,0.21075439453125,341.78,63.0,random1,100000
3.46002197265625,3.00555419921875,0.20001220703125,345.904,63.0,random1,100000
3.383056640625,2.970703125,0.19384765625,312.241,63.0,random1,100000
3.8335571289062496,3.36529541015625,0.228515625,352.519,63.0,random1,100000
3.50823974609375,3.060546875,0.197265625,339.371,63.0,random1,100000
3.109619140625,2.68450927734375,0.18463134765625,346.83,63.0,random1,100000
3.950439453125,3.4697265625,0.2396240234375,361.809,63.0,random1,100000
3.18170166015625,2.7767333984375,0.17950439453125,325.012,63.0,random1,100000
3.6416625976562496,3.1905517578125,0.21649169921875,335.911,64.0,random1,100000
3.5770263671875,3.12396240234375,0.206298828125,351.02,64.0,random1,100000
3.201904296875,2.7283935546875,0.202392578125,398.014,64.0,random1,100000
3.22723388671875,2.76617431640625,0.20068359375,382.4,64.0,random1,100000
3.4588623046875,3.02593994140625,0.19635009765625,336.668,64.0,random1,100000
3.66845703125,3.21575927734375,0.20916748046875,340.308,64.0,random1,100000
3.49627685546875,3.064697265625,0.19354248046875,331.664,64.0,random1,100000
3.443603515625,3.01812744140625,0.19049072265625,327.223,65.0,random1,100000
3.7593383789062496,3.305908203125,0.21234130859375,350.214,65.0,random1,100000
3.6812133789062496,3.229736328125,0.2113037109375,348.265,65.0,random1,100000
3.9948120117187504,3.37652587890625,0.23785400390625,458.554,67.0,random1,200000
4.2396240234375,3.6821899414062496,0.238525390625,422.587,66.0,random1,200000
4.2586669921875,3.7373046875,0.2410888671875,399.518,66.0,random1,200000
4.209228515625,3.67822265625,0.23309326171875,414.974,66.0,random1,200000
4.126220703125,3.6123657226562496,0.227294921875,398.271,66.0,random1,200000
4.1689453125,3.6281127929687504,0.2445068359375,425.535,66.0,random1,200000
3.94775390625,3.36993408203125,0.2447509765625,484.111,66.0,random1,200000
4.19140625,3.662841796875,0.243896484375,401.69,66.0,random1,200000
4.17840576171875,3.6436157226562496,0.22528076171875,416.629,66.0,random1,200000
4.47906494140625,3.904052734375,0.24554443359375,444.842,66.0,random1,200000
4.1209716796875,3.6060791015625,0.2286376953125,398.361,66.0,random1,200000
3.9413452148437504,3.423828125,0.22015380859375,412.873,66.0,random1,200000
4.1612548828125,3.6257934570312496,0.2308349609375,407.195,66.0,random1,200000
4.42120361328125,3.8482666015625,0.24517822265625,439.179,66.0,random1,200000
4.14959716796875,3.616455078125,0.22625732421875,414.592,66.0,random1,200000
4.25250244140625,3.7232055664062496,0.2301025390625,410.573,66.0,random1,200000
4.194580078125,3.6695556640625,0.2308349609375,402.906,65.0,random1,200000
4.38861083984375,3.8391723632812496,0.24053955078125,422.716,65.0,random1,200000
4.10595703125,3.56109619140625,0.2327880859375,435.503,65.0,random1,200000
4.11334228515625,3.58935546875,0.22955322265625,409.628,65.0,random1,200000
4.0592041015625,3.55517578125,0.2113037109375,400.085,65.0,random1,200000
3.9987182617187504,3.48883056640625,0.2073974609375,411.498,65.0,random1,200000
4.34832763671875,3.7998657226562496,0.25933837890625,420.832,65.0,random1,200000
4.2552490234375,3.734130859375,0.24371337890625,397.398,65.0,random1,200000
4.31353759765625,3.7385864257812496,0.24365234375,449.73,65.0,random1,200000
4.262939453125,3.69091796875,0.23968505859375,450.083,65.0,random1,200000
4.05499267578125,3.4625244140625,0.2303466796875,468.849,65.0,random1,200000
4.03204345703125,3.521728515625,0.2357177734375,399.903,65.0,random1,200000
3.8348999023437504,3.2730712890625,0.24365234375,451.161,65.0,random1,200000
4.3489990234375,3.8076782226562496,0.24017333984375,415.134,65.0,random1,200000
3.9122924804687504,3.3978271484375,0.2186279296875,415.453,65.0,random1,200000
4.2784423828125,3.727294921875,0.23529052734375,431.717,65.0,random1,200000
4.38494873046875,3.8080444335937504,0.248779296875,456.652,65.0,random1,200000
3.9712524414062496,3.4918212890625,0.2203369140625,359.419,65.0,random1,200000
4.19873046875,3.6607666015625,0.2314453125,419.711,65.0,random1,200000
3.9923706054687504,3.4876708984375,0.21044921875,395.083,65.0,random1,200000
4.43304443359375,3.8616333007812496,0.24285888671875,446.165,65.0,random1,200000
4.25860595703125,3.706298828125,0.2352294921875,437.173,65.0,random1,200000
4.02606201171875,3.5386962890625,0.21612548828125,380.053,65.0,random1,200000
4.034423828125,3.52349853515625,0.22113037109375,403.843,65.0,random1,200000
5.105224609375,4.39373779296875,0.2763671875,493.608,68.0,random1,300000
4.85003662109375,4.24127197265625,0.25994873046875,465.443,68.0,random1,300000
5.0106201171875,4.35382080078125,0.28192138671875,509.679,68.0,random1,300000
4.91619873046875,4.3194580078125,0.274658203125,448.921,68.0,random1,300000
5.21295166015625,4.578857421875,0.296630859375,486.249,68.0,random1,300000
5.45953369140625,4.78314208984375,0.29437255859375,517.998,69.0,random1,300000
4.7447509765625,4.13604736328125,0.2564697265625,481.403,69.0,random1,300000
5.10955810546875,4.4688720703125,0.26953125,503.251,69.0,random1,300000
4.70172119140625,4.112060546875,0.254150390625,466.536,69.0,random1,300000
4.8150634765625,4.22064208984375,0.2578125,467.927,69.0,random1,300000
4.681396484375,4.087646484375,0.2518310546875,465.628,69.0,random1,300000
5.3602294921875,4.69775390625,0.29107666015625,503.408,69.0,random1,300000
5.39727783203125,4.70904541015625,0.29949951171875,543.208,69.0,random1,300000
4.81329345703125,4.1451416015625,0.26373291015625,544.813,69.0,random1,300000
5.49127197265625,4.81219482421875,0.32940673828125,502.769,69.0,random1,300000
5.314453125,4.6624755859375,0.29736328125,495.3,69.0,random1,300000
5.170654296875,4.55633544921875,0.29144287109375,464.494,70.0,random1,300000
5.3900146484375,4.72088623046875,0.2958984375,503.939,70.0,random1,300000
4.52740478515625,3.9664916992187504,0.2340087890625,443.889,70.0,random1,300000
5.359375,4.70416259765625,0.2908935546875,510.661,69.0,random1,300000
5.37396240234375,4.7139892578125,0.29156494140625,504.614,69.0,random1,300000
4.7398681640625,4.1630859375,0.25909423828125,442.651,69.0,random1,300000
5.40283203125,4.736083984375,0.2955322265625,508.129,69.0,random1,300000
5.53082275390625,4.8634033203125,0.32696533203125,507.395,69.0,random1,300000
5.01373291015625,4.39373779296875,0.26727294921875,477.489,69.0,random1,300000
5.41021728515625,4.7442626953125,0.29241943359375,512.802,69.0,random1,300000
5.28948974609375,4.646728515625,0.30126953125,493.887,68.0,random1,300000
4.51873779296875,3.8473510742187504,0.27020263671875,575.447,68.0,random1,300000
5.43328857421875,4.75628662109375,0.2955322265625,513.323,68.0,random1,300000
4.69482421875,4.061279296875,0.26702880859375,532.677,68.0,random1,300000
5.28985595703125,4.64263916015625,0.29949951171875,489.764,68.0,random1,300000
4.83447265625,4.2166748046875,0.265625,476.833,68.0,random1,300000
5.73455810546875,4.9735107421875,0.3414306640625,575.569,68.0,random1,300000
5.31671142578125,4.64862060546875,0.29339599609375,526.56,68.0,random1,300000
5.49609375,4.78485107421875,0.332275390625,535.345,68.0,random1,300000
4.8858642578125,4.2734375,0.2542724609375,476.717,68.0,random1,300000
5.5728759765625,4.8372802734375,0.3321533203125,553.056,68.0,random1,300000
5.32098388671875,4.65594482421875,0.29205322265625,530.455,68.0,random1,300000
5.0535888671875,4.419677734375,0.278076171875,493.178,68.0,random1,300000
5.263916015625,4.5284423828125,0.28338623046875,514.312,68.0,random1,400000
5.2877197265625,4.62042236328125,0.2802734375,531.563,68.0,random1,400000
5.12091064453125,4.4505615234375,0.287841796875,521.914,68.0,random1,400000
5.13970947265625,4.46099853515625,0.2872314453125,543.761,68.0,random1,400000
5.1087646484375,4.44158935546875,0.2757568359375,525.394,68.0,random1,400000
5.24761962890625,4.5753173828125,0.2816162109375,529.273,68.0,random1,400000
5.2547607421875,4.5775146484375,0.28350830078125,541.474,69.0,random1,400000
5.05841064453125,4.42718505859375,0.2744140625,488.009,69.0,random1,400000
5.19378662109375,4.53924560546875,0.29168701171875,511.717,69.0,random1,400000
4.98931884765625,4.36834716796875,0.27587890625,479.053,69.0,random1,400000
5.32159423828125,4.64263916015625,0.28277587890625,552.424,69.0,random1,400000
5.39910888671875,4.73297119140625,0.29205322265625,515.581,69.0,random1,400000
5.39495849609375,4.69207763671875,0.30047607421875,560.993,70.0,random1,400000
5.0118408203125,4.38055419921875,0.27862548828125,492.536,70.0,random1,400000
5.1055908203125,4.4609375,0.27117919921875,503.074,70.0,random1,400000
4.92169189453125,4.28912353515625,0.2696533203125,495.44,69.0,random1,400000
5.17156982421875,4.49603271484375,0.27325439453125,530.804,69.0,random1,400000
5.26104736328125,4.58294677734375,0.28302001953125,544.885,69.0,random1,400000
5.512451171875,4.78533935546875,0.3092041015625,559.583,69.0,random1,400000
5.11309814453125,4.4658203125,0.274658203125,511.093,69.0,random1,400000
5.11376953125,4.4747314453125,0.276611328125,509.209,69.0,random1,400000
5.00164794921875,4.37359619140625,0.2763671875,481.58,69.0,random1,400000
4.958984375,4.31280517578125,0.27789306640625,512.102,68.0,random1,400000
4.9039306640625,4.1954345703125,0.28582763671875,601.399,68.0,random1,400000
4.9315185546875,4.3074951171875,0.271484375,482.524,68.0,random1,400000
5.135986328125,4.47003173828125,0.2786865234375,532.199,68.0,random1,400000
5.05682373046875,4.43170166015625,0.2783203125,487.547,68.0,random1,400000
5.46051025390625,4.789794921875,0.29486083984375,519.627,68.0,random1,400000
5.16400146484375,4.47900390625,0.28155517578125,515.48,68.0,random1,400000
5.11468505859375,4.47552490234375,0.27667236328125,502.883,69.0,random1,400000
5.05926513671875,4.4129638671875,0.27716064453125,495.52,69.0,random1,400000
5.46502685546875,4.79278564453125,0.299560546875,519.915,69.0,random1,400000
4.97503662109375,4.32427978515625,0.27490234375,491.683,68.0,random1,400000
5.42999267578125,4.7691650390625,0.294189453125,516.219,68.0,random1,400000
5.487060546875,4.73309326171875,0.30059814453125,542.53,71.0,random1,500000
5.53955078125,4.8270263671875,0.29412841796875,568.365,71.0,random1,500000
5.39910888671875,4.7093505859375,0.29119873046875,560.905,70.0,random1,500000
5.56201171875,4.8798828125,0.3074951171875,525.114,70.0,random1,500000
5.44903564453125,4.75152587890625,0.3006591796875,547.492,70.0,random1,500000
5.82098388671875,5.0986328125,0.3126220703125,571.623,71.0,random1,500000
5.279541015625,4.6298828125,0.2890625,516.054,71.0,random1,500000
5.2830810546875,4.6077880859375,0.29583740234375,532.091,71.0,random1,500000
5.39581298828125,4.68988037109375,0.294921875,574.071,70.0,random1,500000
5.6259765625,4.88702392578125,0.30413818359375,597.032,69.0,random1,500000
5.8076171875,5.05615234375,0.3201904296875,591.723,69.0,random1,500000
5.431640625,4.74334716796875,0.2996826171875,531.246,69.0,random1,500000
5.3380126953125,4.670166015625,0.28643798828125,532.798,69.0,random1,500000
5.68157958984375,4.96917724609375,0.3017578125,561.037,69.0,random1,500000
5.513916015625,4.83465576171875,0.29791259765625,539.447,69.0,random1,500000
5.5167236328125,4.8133544921875,0.2950439453125,563.104,68.0,random1,500000
5.6357421875,4.92633056640625,0.3016357421875,560.673,68.0,random1,500000
5.575927734375,4.8707275390625,0.29815673828125,559.486,68.0,random1,500000
5.76434326171875,5.04296875,0.30804443359375,560.101,68.0,random1,500000
5.46490478515625,4.772216796875,0.29400634765625,561.575,68.0,random1,500000
5.28009033203125,4.620849609375,0.282958984375,521.922,68.0,random1,500000
5.34454345703125,4.66900634765625,0.28375244140625,551.951,68.0,random1,500000
5.321533203125,4.6656494140625,0.28839111328125,528.34,68.0,random1,500000
5.685791015625,4.95404052734375,0.3131103515625,569.182,68.0,random1,500000
5.46099853515625,4.72015380859375,0.3037109375,582.274,68.0,random1,500000
5.63446044921875,4.87982177734375,0.3084716796875,618.046,68.0,random1,500000
5.685791015625,4.995361328125,0.30999755859375,554.119,68.0,random1,500000
5.6903076171875,4.964599609375,0.30242919921875,585.337,68.0,random1,500000
5.60577392578125,4.89581298828125,0.2960205078125,577.254,68.0,random1,500000
5.4044189453125,4.7435302734375,0.297119140625,518.921,69.0,random1,500000
5.31646728515625,4.62896728515625,0.290771484375,535.502,69.0,random1,500000
5.46356201171875,4.7657470703125,0.29998779296875,550.855,69.0,random1,500000
5.50262451171875,4.79400634765625,0.2991943359375,562.405,69.0,random1,500000
5.5880126953125,4.87408447265625,0.29486083984375,590.005,69.0,random1,500000
5.3759765625,4.70904541015625,0.29571533203125,506.37,70.0,random1,500000
2.33245849609375,2.0462646484375,0.1365966796875,235.845,55.0,random2,25000
2.08770751953125,1.829345703125,0.11968994140625,223.62,55.0,random2,25000
2.25,1.968994140625,0.13763427734375,228.942,55.0,random2,25000
2.3006591796875,2.01318359375,0.13372802734375,231.924,55.0,random2,25000
2.07659912109375,1.81488037109375,0.12005615234375,221.789,55.0,random2,25000
2.2349853515625,1.960693359375,0.13372802734375,226.085,55.0,random2,25000
2.06231689453125,1.80364990234375,0.1175537109375,220.261,55.0,random2,25000
2.07708740234375,1.81121826171875,0.12255859375,222.258,55.0,random2,25000
2.21649169921875,1.93792724609375,0.13525390625,227.109,55.0,random2,25000
2.37078857421875,2.08428955078125,0.13616943359375,233.973,55.0,random2,25000
