PKG (J),CPU (J),DRAM (J),Time (ms),Temp (C),Input case,Size
13.2322998046875,11.54412841796875,0.39990234375,1710.16,69.0,random1,25000
14.1636962890625,12.36151123046875,0.49310302734375,1723.56,69.0,random1,25000
13.530029296875,11.76812744140625,0.451171875,1730.49,69.0,random1,25000
14.08563232421875,12.30230712890625,0.486083984375,1704.74,70.0,random1,25000
14.142822265625,12.37646484375,0.4857177734375,1699.14,70.0,random1,25000
13.3043212890625,11.57806396484375,0.4075927734375,1721.29,71.0,random1,25000
13.3870849609375,11.655029296875,0.41326904296875,1749.8,71.0,random1,25000
14.12213134765625,12.32635498046875,0.48760986328125,1763.3,71.0,random1,25000
14.1309814453125,12.344970703125,0.49017333984375,1710.29,70.0,random1,25000
13.12249755859375,11.4146728515625,0.40789794921875,1734.15,70.0,random1,25000
13.2381591796875,11.523193359375,0.40985107421875,1714.96,69.0,random1,25000
13.194580078125,11.51495361328125,0.4012451171875,1713.07,69.0,random1,25000
13.25262451171875,11.52178955078125,0.4140625,1731.46,67.0,random1,25000
13.55865478515625,11.836181640625,0.44219970703125,1714.24,65.0,random1,25000
13.53179931640625,11.77630615234375,0.4539794921875,1730.98,67.0,random1,25000
14.2371826171875,12.45928955078125,0.48779296875,1729.83,66.0,random1,25000
12.67919921875,11.0225830078125,0.375,1725.76,65.0,random1,25000
13.90338134765625,12.1060791015625,0.48394775390625,1733.58,66.0,random1,25000
13.15447998046875,11.452880859375,0.4068603515625,1724.19,66.0,random1,25000
14.33203125,12.5322265625,0.49786376953125,1741.47,65.0,random1,25000
14.12200927734375,12.3477783203125,0.48175048828125,1729.34,67.0,random1,25000
12.63775634765625,10.974853515625,0.3795166015625,1724.37,66.0,random1,25000
13.83270263671875,12.0777587890625,0.47052001953125,1732.79,67.0,random1,25000
12.63037109375,10.9791259765625,0.37530517578125,1695.81,68.0,random1,25000
14.0081787109375,12.24151611328125,0.483154296875,1701.28,68.0,random1,25000
13.1956787109375,11.5084228515625,0.40240478515625,1722.98,68.0,random1,25000
13.169189453125,11.47161865234375,0.4083251953125,1715.37,68.0,random1,25000
13.90631103515625,12.15618896484375,0.482177734375,1708.51,68.0,random1,25000
13.256591796875,11.5086669921875,0.4237060546875,1749.9,64.0,random1,25000
